                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0006,                0.64452,                 1.2496,                0.90898,                0.86608,                0.89907,                0.54568,                 1.4424,                0.75028,                 1.6555,              0.0009902,              0.0009902,              0.0009902
                     53,                0.99236,                0.62581,                 1.2526,                0.93196,                0.89083,                0.93092,                0.55576,                 1.3778,                0.67464,                 1.5639,              0.0009704,              0.0009704,              0.0009704
                     54,                  1.006,                0.64948,                 1.2671,                0.88194,                0.83006,                0.88943,                 0.5312,                 1.4909,                0.82656,                 1.7138,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.9918,                0.63362,                 1.2374,                0.91719,                0.87043,                0.92334,                0.52586,                 1.4648,                0.74544,                 1.6856,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0154,                0.63536,                 1.2509,                0.86484,                  0.763,                0.84326,                0.48564,                 1.5673,                0.95809,                 1.7965,               0.000911,               0.000911,               0.000911
                     57,                0.99364,                0.61371,                 1.2455,                0.92886,                0.88618,                0.91791,                0.54095,                   1.42,                0.69075,                 1.6132,              0.0008912,              0.0008912,              0.0008912
                     58,                0.96242,                 0.5958,                 1.2317,                0.93255,                0.89926,                 0.9333,                0.53926,                 1.4506,                0.67829,                   1.65,              0.0008714,              0.0008714,              0.0008714
                     59,                0.96031,                0.60011,                 1.2322,                0.90696,                0.87176,                 0.9202,                 0.5355,                 1.4383,                0.69039,                  1.653,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.9523,                0.59105,                  1.228,                0.83991,                0.82114,                0.82347,                0.48539,                 1.5777,                0.96147,                 1.8886,              0.0008318,              0.0008318,              0.0008318
                     61,                0.95738,                0.59422,                 1.2265,                0.90372,                0.86992,                0.90381,                0.52422,                 1.4379,                0.71461,                 1.6659,               0.000812,               0.000812,               0.000812
                     62,                0.94687,                0.58839,                   1.24,                0.87637,                0.88371,                0.91395,                 0.5553,                 1.4127,                0.69771,                 1.6251,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.9533,                0.58381,                 1.2238,                0.91695,                 0.8916,                0.92448,                0.54249,                 1.4636,                0.68645,                 1.6675,              0.0007724,              0.0007724,              0.0007724
                     64,                0.93126,                0.59657,                 1.2235,                0.91828,                0.86179,                0.92287,                0.53931,                 1.4847,                0.70522,                 1.6772,              0.0007526,              0.0007526,              0.0007526
                     65,                0.94426,                0.58491,                 1.2249,                0.90233,                0.87805,                0.91807,                0.52497,                 1.5296,                0.70744,                 1.7505,              0.0007328,              0.0007328,              0.0007328
                     66,                0.91678,                0.57948,                 1.2071,                0.93073,                0.87396,                 0.9299,                0.53003,                 1.4477,                0.66527,                 1.6763,               0.000713,               0.000713,               0.000713
                     67,                0.95199,                0.57157,                 1.2375,                0.87101,                0.86012,                 0.9016,                0.50954,                 1.5183,                0.75809,                  1.753,              0.0006932,              0.0006932,              0.0006932
                     68,                0.90507,                 0.5558,                 1.2019,                0.91522,                0.87772,                0.91955,                0.54683,                 1.4399,                0.69817,                 1.6635,              0.0006734,              0.0006734,              0.0006734
                     69,                0.91251,                0.55528,                 1.1946,                0.90071,                0.88076,                0.90657,                0.55513,                 1.4331,                0.73913,                 1.6775,              0.0006536,              0.0006536,              0.0006536
                     70,                0.91376,                0.55929,                 1.2024,                0.91273,                0.88889,                0.92067,                0.57652,                 1.3922,                0.68492,                 1.6397,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.8968,                0.55931,                 1.2099,                0.86924,                0.84282,                0.88773,                0.52505,                  1.463,                0.79008,                 1.7211,               0.000614,               0.000614,               0.000614
                     72,                0.89447,                 0.5546,                 1.2004,                0.94289,                0.88347,                0.93751,                0.54511,                 1.4602,                 0.6696,                 1.6885,              0.0005942,              0.0005942,              0.0005942
                     73,                0.91563,                0.55947,                 1.2076,                0.93382,                0.87948,                0.92325,                0.55888,                 1.4316,                0.65511,                 1.6563,              0.0005744,              0.0005744,              0.0005744
                     74,                0.89246,                0.54795,                 1.1853,                0.89728,                0.87589,                0.91796,                 0.5683,                 1.4013,                0.66397,                 1.6361,              0.0005546,              0.0005546,              0.0005546
                     75,                0.86783,                0.53077,                 1.1653,                0.87938,                0.86721,                0.91058,                0.56934,                 1.4143,                0.74439,                 1.6526,              0.0005348,              0.0005348,              0.0005348
                     76,                0.88221,                0.52716,                 1.1817,                0.88043,                0.87797,                0.91112,                0.56644,                 1.4221,                0.69124,                 1.6274,               0.000515,               0.000515,               0.000515
                     77,                0.88513,                0.54348,                 1.1832,                 0.8989,                0.86741,                0.91469,                0.55601,                 1.4418,                0.70082,                 1.6649,              0.0004952,              0.0004952,              0.0004952
                     78,                0.85327,                0.50468,                 1.1684,                0.93908,                0.87727,                0.92836,                0.56106,                 1.4384,                0.68513,                 1.6768,              0.0004754,              0.0004754,              0.0004754
                     79,                0.86455,                0.52905,                 1.1834,                0.91838,                0.85095,                0.91563,                 0.5334,                 1.4964,                 0.7149,                 1.7449,              0.0004556,              0.0004556,              0.0004556
                     80,                0.86138,                0.51771,                 1.1736,                 0.9284,                0.87854,                0.93107,                0.54578,                 1.4377,                0.66803,                 1.7027,              0.0004358,              0.0004358,              0.0004358
                     81,                0.87174,                 0.5209,                 1.1791,                0.94747,                0.85908,                0.92643,                0.55409,                 1.4618,                0.68765,                  1.734,               0.000416,               0.000416,               0.000416
                     82,                0.86686,                0.52324,                 1.1815,                0.93342,                0.87534,                0.92835,                0.57037,                 1.3813,                0.68135,                 1.6165,              0.0003962,              0.0003962,              0.0003962
                     83,                0.83822,                0.50429,                 1.1524,                 0.8858,                0.86184,                0.89399,                0.53579,                 1.4628,                0.74762,                  1.744,              0.0003764,              0.0003764,              0.0003764
